2016-01-23T00:01:19+0000	12.150.200.211	101.224.177.255	11	62	62
2016-01-23T01:02:59+0000	12.150.200.211	101.224.177.255	11	62	62
2016-01-23T01:23:59+0000	12.150.200.211	101.224.177.255	11	72	71
2016-01-23T03:23:59+0000	12.150.200.211	101.224.177.255	11	82	89
2016-01-23T03:24:57+0000	12.151.217.193	12.325.194.21	11	120	187
2016-01-23T03:40:59+0000	12.150.200.211	101.224.177.255	11	69	45
2016-01-24T22:00:59+0000	151.122.26.99	12.150.246.4	11	60	92
2016-01-24T22:01:59+0000	12.150.200.211	101.224.177.255	11	76	77
2016-01-25T22:02:59+0000	12.150.200.211	101.224.177.255	11	76	76
2016-01-25T01:00:59+0000	12.150.200.211	101.224.177.255	11	66	66
2016-01-25T02:54:59+0000	12.150.200.211	101.224.177.255	11	66	72
2016-01-25T10:00:00+0000	12.150.200.211	101.224.177.255	11	71	71
2016-01-25T10:00:00+0000	12.150.200.211	101.224.177.255	11	71	71
2016-01-26T12:00:00+0000	12.150.200.211	101.224.177.255	11	71	71
2016-01-26T12:00:00+0000	12.221.14.160	188.113.2.18	11	64	67
2016-01-26T12:00:00+0000	151.122.24.75	12.150.246.4	11	73	72
2016-01-26T23:00:00+0000	151.122.30.69	12.150.247.222	11	80	89
2016-01-27T05:00:00+0000	151.122.30.69	12.150.247.222	11	80	80
2016-01-27T17:45:59+0000	12.150.200.98	12.150.246.2	11	73	74
2016-01-28T22:59:59+0000	151.122.147.86	12.150.246.2	11	62	60
2016-01-28T22:59:59+0000	151.122.159.11	12.150.234.6	11	57	50
2016-01-28T22:59:59+0000	12.150.200.211	12.150.246.4	11	10	320
2016-02-01T22:59:59+0000	12.150.200.211	12.150.246.4	11	97	100
2016-02-02T22:59:59+0000	12.150.200.211	12.150.246.4	11	43	50
